season,rank,runner_id,player_name,sprint_speed,jump_time,primary_lead,lead_gain,avg_pre_release_velocity,avg_post_release_distance,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,lead_gain
2017,5,595879,Javier Báez,28.5,1.77,10.957180952,4.696933333,3.6130256407692305,52.24049999999999,1.95,10,3,0.7718520262669073,0.001614483230249153,4.696933333
2017,6,592663,J.T. Realmuto,28.6,1.76,12.115241176,4.642758824,3.5713529415384615,52.70265,1.95,8,2,0.7928890981869555,0.020714494780322723,4.642758824
2017,7,664023,Ian Happ,28.8,1.75,10.538212454,4.404992674,3.388455903076923,53.352,1.95,8,4,0.6996080278120196,-0.07680127558931393,4.404992674
2017,8,664023,Ian Happ,28.8,1.76,10.538212454,4.404992674,3.388455903076923,53.07119999999999,1.95,8,4,0.6996080278120196,-0.07680127558931393,4.404992674
2017,9,593428,Xander Bogaerts,28.3,1.78,12.125084821,4.347678571,3.3443681315384617,51.597975,1.95,15,1,0.8996826891811587,0.13295868762969665,4.347678571
2017,10,518692,Freddie Freeman,26.6,1.81,12.235060811,4.331902027,3.3322323284615383,47.7204,1.95,8,5,0.6607409151557962,-0.09552916698564029,4.331902027
2017,11,593871,Jorge Polanco,28.4,1.77,12.317263158,3.988017544,3.067705803076923,52.057199999999995,1.95,13,5,0.7344928901219275,-0.03392778562967458,3.988017544
2017,12,593871,Jorge Polanco,28.4,1.79,12.317263158,3.988017544,3.067705803076923,51.50339999999999,1.95,13,5,0.7344928901219275,-0.03392778562967458,3.988017544
2017,13,592450,Aaron Judge,28.0,1.79,10.921927928,3.824536036,2.9419507969230767,50.778,1.95,9,4,0.7162964707113518,-0.046058666749195454,3.824536036
2017,14,543760,Marcus Semien,28.4,1.74,12.177804233,3.618862434,2.7837403338461537,52.887899999999995,1.95,12,1,0.8829631373780185,0.11454246162641635,3.618862434
2017,15,607208,Trea Turner,30.3,1.71,11.411938596,3.574809942,2.7498538015384613,57.31245,1.95,46,8,0.8456497707254972,0.02215559903695896,3.574809942
2018,1,605141,Mookie Betts,28.1,1.75,12.429531646,5.642240506,4.3401850046153845,53.12305,1.99,30,6,0.8266667432391301,0.06297551083319508,5.642240506
2018,2,608070,José Ramírez,27.4,1.74,12.295364583,5.031840278,3.8706463676923075,52.82172,2.04,34,6,0.8420741438400964,0.08521152126861142,5.031840278
2018,3,608070,José Ramírez,27.4,1.76,12.295364583,5.031840278,3.8706463676923075,52.82172,2.04,34,6,0.8420741438400964,0.08521152126861142,5.031840278
2018,4,547180,Bryce Harper,27.5,1.78,11.668186722,4.916755187,3.7821193746153843,52.4535,2.04,13,3,0.8044445939430634,0.04696703493569532,4.916755187
2018,5,595879,Javier Báez,28.8,1.76,10.957180952,4.696933333,3.6130256407692305,54.568079999999995,2.005,21,9,0.7112381849372666,-0.06517111846406687,4.696933333
