season,rank,runner_id,player_name,sprint_speed,jump_time,primary_lead,lead_gain,avg_pre_release_velocity,avg_post_release_distance,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,jump_time
2020,9,605141,Mookie Betts,28.3,1.78,12.429531646,5.642240506,4.3401850046153845,51.597975,1.95,10,2,0.8172550866355489,0.05053108508408688,1.78
2020,10,665487,Fernando Tatis Jr.,29.3,1.79,11.307440154,4.53011583,3.4847044846153845,53.135549999999995,1.95,11,3,0.7838598143581228,-0.005239618016013026,1.79
2020,11,596115,Trevor Story,28.9,1.79,12.970051546,4.217072165,3.2439016653846156,52.410149999999994,1.95,15,3,0.8214494118610579,0.042742468834999214,1.79
2020,12,622534,Manuel Margot,28.4,1.79,,,,51.50339999999999,1.95,12,4,0.7568255463240158,-0.011595129427586337,1.79
2020,13,621563,Joey Wendle,28.2,1.79,,,,51.14069999999999,1.95,8,2,0.7928890981869555,0.027741577750714952,1.79
2020,14,622682,Victor Reyes,27.9,1.79,,,,50.59664999999999,1.95,8,2,0.7928890981869555,0.031749862586878286,1.79
2020,15,516782,Starling Marte,28.4,1.8,12.167531646,2.556632911,1.9666407007692306,51.226499999999994,1.95,10,2,0.8172550866355489,0.0488344108839468,1.8
2021,1,502481,Jarrod Dyson,27.9,1.67,,,,53.860949999999995,1.95,10,5,0.6946668236402166,-0.06647241195986064,1.67
2021,2,605548,Bradley Zimmer,29.4,1.68,,,,56.47005,1.95,15,3,0.8214494118610579,0.029451374437610034,1.68
2021,3,642423,Magneuris Sierra,28.8,1.69,,,,55.03679999999999,1.95,11,0,0.9308335295502708,0.15442422614893725,1.69
2021,4,663757,Trent Grisham,28.8,1.7,10.18492145,4.198489426,3.229607250769231,56.230199999999996,2.0025,13,5,0.7344928901219275,-0.041916413279405984,1.7
2021,5,621433,Brett Phillips,28.5,1.7,,,,55.4360625,1.995,14,3,0.8133334760365606,0.04309593299990244,1.7
2021,6,642180,Tyler Wade,29.1,1.7,,,,58.3054875,2.0549999999999997,17,6,0.7461905883144404,-0.03747221321582184,1.7
2021,7,656775,Cedric Mullins,28.5,1.71,12.201346821,3.753213873,2.8870875946153847,55.29,2.0,30,8,0.7882171272745194,0.01797958423786128,1.71
2021,8,668731,Akil Baddoo,28.8,1.71,,,,55.59264,1.99,18,4,0.8108643138075678,0.03445501040623433,1.71
2021,9,645277,Ozzie Albies,28.4,1.72,11.063531599,3.078405204,2.368004003076923,53.89846666666666,1.9666666666666666,20,4,0.8239081542346322,0.05548747848303004,1.72
2021,10,669242,Tommy Edman,28.9,1.72,,,,53.517019999999995,1.9699999999999998,30,5,0.8473334118201084,0.06862646879404966,1.72
2021,11,665750,Leody Taveras,29.7,1.72,11.69019171,3.285606218,2.5273893984615383,54.440099999999994,1.95,10,1,0.8683335295502708,0.06691851846938213,1.72
2021,12,643217,Andrew Benintendi,27.6,1.72,11.935697248,2.335362385,1.7964326038461536,54.000434999999996,2.0275,8,9,0.5406062033092879,-0.21760648521888204,1.72
2021,13,660670,Ronald Acuña Jr.,29.4,1.72,12.019437956,3.908908759,3.0068528915384616,55.323449999999994,1.95,17,6,0.7461905883144404,-0.04580744910900747,1.72
2021,14,665926,Andrés Giménez,29.1,1.73,11.260161491,4.077695652,3.136688963076923,55.59264,1.99,11,0,0.9308335295502708,0.14717072802000852,1.73
2021,15,665862,Jazz Chisholm Jr.,29.1,1.73,12.165130769,5.637923077,4.336863905384615,54.54504,1.9525,23,8,0.7470371242445648,-0.03662567728569743,1.73
2022,1,670764,Taylor Walls,28.8,1.7,12.974603659,4.370176829,3.3616744838461536,54.75599999999999,1.95,10,3,0.7718520262669073,-0.004557277134426219,1.7
2022,2,623205,Andrew Velazquez,29.1,1.7,,,,56.6031375,1.995,17,1,0.9084059336001884,0.12474313206992615,1.7
2022,3,660644,Vidal Bruján,28.5,1.71,,,,53.90774999999999,1.95,5,5,0.5928890981869555,-0.1773484448497027,1.71
2022,4,669352,Bubba Thompson,30.3,1.71,,,,57.753315,1.9649999999999999,18,3,0.8420514028001667,0.018557231111628436,1.71
2022,5,682928,CJ Abrams,29.0,1.71,11.387557632,3.204844237,2.4652647976923077,54.8535,1.95,7,4,0.6808335295502708,-0.10029124618543173,1.71
2022,6,671739,Michael Harris II,29.4,1.71,11.572564706,3.727862745,2.8675867269230766,55.32491999999999,1.94,20,2,0.8849383878816419,0.09294035045819404,1.71
2022,7,680757,Steven Kwan,28.4,1.72,10.742378205,4.1405,3.185,54.53794,1.99,19,5,0.7894253956139425,0.021004719862340426,1.72
2022,8,656775,Cedric Mullins,28.5,1.72,12.201346821,3.753213873,2.8870875946153847,53.2173375,1.935,34,10,0.7733333974041701,0.0030958543675119188,1.72
2022,9,664728,Kyle Isbel,28.0,1.72,12.64,4.155311475,3.1963934423076927,53.2294,1.97,9,6,0.6446668236402167,-0.11768831382033063,1.72
2022,10,668731,Akil Baddoo,28.9,1.72,,,,53.82480499999999,1.93,9,6,0.6446668236402167,-0.13404011938584204,1.72
2022,11,623205,Andrew Velazquez,29.1,1.72,,,,56.6031375,1.995,17,1,0.9084059336001884,0.12474313206992615,1.72
2022,12,669016,Brandon Marsh,28.8,1.73,12.399738351,4.109007168,3.1607747446153844,53.637119999999996,1.94,10,4,0.7312282354107543,-0.04518106799057919,1.73
2022,13,665862,Jazz Chisholm Jr.,29.3,1.73,12.165130769,5.637923077,4.336863905384615,55.5528,1.975,12,5,0.7224243851274696,-0.06667504724666617,1.73
2022,14,642180,Tyler Wade,29.1,1.73,,,,53.91648,1.93,8,5,0.6607409151557962,-0.122921886374466,1.73
2022,15,664983,Jake McCarthy,30.1,1.73,12.197339806,4.292359223,3.3018147869230767,56.05824,1.94,23,3,0.8675269829936881,0.051873303847368324,1.73
2023,1,682829,Elly De La Cruz,30.5,1.66,13.043354086,4.053797665,3.118305896153846,59.177625,1.95,35,8,0.8102778431834237,-0.02153759338700212,1.66
2023,2,682998,Corbin Carroll,30.1,1.66,9.737318777,3.851152838,2.96242526,57.802535,1.93,54,5,0.9045833823875677,0.08892970324124794,1.66
2023,3,608671,Travis Jankowski,29.0,1.68,,,,56.84435,1.99,19,1,0.9157334589121733,0.1346086831764708,1.68
2023,4,680118,Dairon Blanco,30.3,1.7,,,,56.42617499999999,1.91,24,5,0.8203922492001274,-0.003101922488410791,1.7
2023,5,668930,Brice Turang,29.4,1.7,11.467410188,3.324536193,2.557335533076923,58.4766,2.04,26,4,0.8540953277944094,0.062097290370961566,1.7
2023,6,668731,Akil Baddoo,29.0,1.71,,,,54.8535,1.95,14,3,0.8133334760365606,0.032208700300858095,1.71
2023,7,681546,James Outman,28.9,1.71,12.713019802,5.209613861,4.007395277692308,56.34632999999999,2.01,16,3,0.8288890197001805,0.05018207667412178,1.71
2023,8,682928,CJ Abrams,28.6,1.71,11.387557632,3.204844237,2.4652647976923077,55.483999999999995,2.0,47,4,0.908809579871506,0.13663497646487321,1.71
2023,9,671739,Michael Harris II,28.8,1.71,11.572564706,3.727862745,2.8675867269230766,54.19584,1.94,20,4,0.8239081542346322,0.047498850833298634,1.71
2023,10,641584,Jake Fraley,28.0,1.71,12.234175182,4.711321168,3.624093206153846,53.505199999999995,1.97,21,5,0.8030108539614301,0.040655716500882844,1.71
2023,11,678225,Ji Hwan Bae,29.7,1.71,,,,57.473955,1.995,24,9,0.7340351703369561,-0.06737984074393255,1.71
2023,12,680776,Jarren Duran,29.5,1.71,11.817132841,3.677476015,2.828827703846154,57.086924999999994,1.9949999999999999,24,2,0.8997850475098171,0.10476821195213948,1.71
2023,13,606132,Raimel Tapia,28.7,1.72,,,,54.00622499999999,1.95,10,2,0.8172550866355489,0.04302322977402462,1.72
2023,14,669261,Jack Suwinski,28.6,1.72,,,,52.4381,1.9,13,2,0.8446668236402166,0.07249222023358382,1.72
2023,15,665862,Jazz Chisholm Jr.,28.4,1.72,12.165130769,5.637923077,4.336863905384615,53.16763999999999,1.94,22,3,0.8631112157601444,0.09469054000854227,1.72
2024,1,682998,Corbin Carroll,29.6,1.68,9.737318777,3.851152838,2.96242526,56.212768000000004,1.9280000000000002,35,8,0.8102778431834237,0.01212201640659849,1.68
2024,2,666152,David Hamilton,29.4,1.68,12.102747967,4.256341463,3.2741088176923077,57.773205000000004,1.995,33,4,0.8784127731620079,0.08641473573856007,1.68
2024,3,683083,Nasim Nuñez,29.5,1.68,11.528732719,4.505917051,3.466090039230769,56.662124999999996,1.95,8,2,0.7928890981869555,-0.002127737370722138,1.68
2024,4,669003,Garrett Mitchell,29.5,1.68,11.222261084,2.596517241,1.9973209546153845,58.69615,2.02,11,4,0.7446668236402166,-0.050350011917461024,1.68
2024,5,608671,Travis Jankowski,28.5,1.68,,,,54.741375,1.95,11,1,0.8760786160473136,0.10584107301065548,1.68
2024,6,686217,Sal Frelick,29.3,1.68,12.259344203,2.834137681,2.1801059084615386,59.741234999999996,2.07,18,3,0.8420514028001667,0.05295197042603084,1.68
2024,7,663368,Blake Perkins,29.6,1.69,13.740953846,4.365707692,3.358236686153846,58.016000000000005,2.0,23,5,0.8149495900849798,0.01679376330815463,1.69
2024,8,682829,Elly De La Cruz,30.0,1.69,13.043354086,4.053797665,3.118305896153846,54.71999999999999,1.92,67,16,0.8056060962818674,-0.006307626220718898,1.69
2024,9,641584,Jake Fraley,28.3,1.69,12.234175182,4.711321168,3.624093206153846,54.91332,1.9799999999999998,20,5,0.7964445490934777,0.029720547542015696,1.69
2024,10,680776,Jarren Duran,29.6,1.7,11.817132841,3.677476015,2.828827703846154,55.1226,1.91,34,7,0.8237681841913986,0.02561235741457346,1.7
2024,11,691718,Pete Crow-Armstrong,30.0,1.7,12.341284884,3.9235,3.018076923076923,58.353750000000005,1.995,27,3,0.882666756365838,0.07075303386325171,1.7
2024,12,656775,Cedric Mullins,28.3,1.71,12.201346821,3.753213873,2.887087594615385,53.34644333333333,1.9433333333333334,32,6,0.8347287551814961,0.06800475363003411,1.71
2024,13,660271,Shohei Ohtani,28.1,1.71,11.510135065,3.437301299,2.6440779223076922,51.51573,1.89,59,4,0.924902006953005,0.1612107745470699,1.71
2024,14,665750,Leody Taveras,28.5,1.71,11.69019171,3.285606218,2.5273893984615383,53.90774999999999,1.95,23,6,0.7909804844942451,0.020742941457586928,1.71
2024,15,668930,Brice Turang,29.3,1.71,11.467410188,3.324536193,2.557335533076923,56.500947999999994,1.988,50,6,0.8834973192263006,0.09439788685216477,1.71
2025,1,683083,Nasim Nuñez,29.8,1.64,11.528732719,4.505917051,3.466090039230769,58.11,1.95,9,1,0.8595557648536222,0.05476137638375145,1.64
2025,2,680577,DaShawn Keirsey Jr.,28.5,1.67,,,,56.14785,1.99,10,3,0.7718520262669073,0.001614483230249153,1.67
2025,3,802415,Chandler Simpson,29.6,1.67,12.159847107,3.596834711,2.7667959315384616,57.06954,1.9475,44,12,0.7851366634885957,-0.013019163288229496,1.67
