season,rank,runner_id,player_name,sprint_speed,jump_time,primary_lead,lead_gain,avg_pre_release_velocity,avg_post_release_distance,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,avg_pre_release_velocity
2018,15,660162,Yoán Moncada,28.8,1.72,12.317113333,4.00746,3.0961264846615335,55.67664,2.0033333333333334,12,6,0.6910128946822225,-0.08545118092950665,3.0961264846615335
2019,1,605141,Mookie Betts,27.9,1.75,12.429531646,5.642240506,4.3401850046153845,53.186699999999995,2.0066666666666664,16,3,0.8288873574037966,0.06772964225253586,4.3401850046153845
2019,2,547180,Bryce Harper,28.3,1.76,11.668186722,4.916755187,4.067963604335939,53.0858475,1.9849999999999999,15,3,0.8214476772909182,0.054683335114047105,4.067963604335939
2019,3,624428,Adam Frazier,27.2,1.77,12.576537879,5.210234848,4.007872959999999,49.8576,1.95,5,5,0.5928864385127411,-0.16306504874968353,4.007872959999999
2019,4,596115,Trevor Story,29.2,1.7,12.970051546,4.217072165,3.933835974813433,56.0859,1.97,23,8,0.7470360160469754,-0.03934100603491719,3.933835974813433
2019,5,608070,José Ramírez,27.9,1.75,12.295364583,5.031840278,3.8706463676923075,52.994654999999995,2.01,24,4,0.8452514114451853,0.0840936962939246,3.8706463676923075
2019,6,608070,José Ramírez,27.9,1.76,12.295364583,5.031840278,3.8706463676923075,52.994654999999995,2.01,24,4,0.8452514114451853,0.0840936962939246,3.8706463676923075
2019,7,595879,Javier Báez,28.6,1.75,10.957180952,4.696933333,3.6130256407692305,52.981500000000004,1.95,11,7,0.6475346338126573,-0.12469068847141562,3.6130256407692305
2019,8,592663,J.T. Realmuto,28.7,1.76,12.115241176,4.642758824,3.5713529415384615,52.88692499999999,1.95,9,1,0.8595531051794079,0.08526821622379233,3.5713529415384615
2019,9,665487,Fernando Tatis Jr.,29.3,1.75,11.307440154,4.53011583,3.4847044846153845,55.67,2.0,16,6,0.7367887621367081,-0.05236554652415315,3.4847044846153845
2019,10,500743,Miguel Rojas,26.3,1.84,12.167167785,4.370013423,3.3615487869230765,45.698879999999996,1.92,9,5,0.6785945567205851,-0.07927584785958652,3.3615487869230765
2019,11,542303,Marcell Ozuna,27.4,1.86,10.24402027,4.274513514,3.288087318461538,48.06507999999999,1.96,12,2,0.8364892935626904,0.07964841254059563,3.288087318461538
2019,12,660162,Yoán Moncada,27.8,1.73,12.317113333,4.00746,3.0826615384615383,52.4864,1.9666666666666668,10,3,0.7718498098717288,0.011794701515442707,3.0826615384615383
2019,13,660162,Yoán Moncada,27.8,1.73,12.317113333,4.00746,3.0826615384615383,52.4864,1.9666666666666668,10,3,0.7718498098717288,0.011794701515442707,3.0826615384615383
2019,14,660670,Ronald Acuña Jr.,29.3,1.7,12.019437956,3.908908759,3.0068528915384616,56.468424999999996,1.9766666666666666,37,9,0.8018293446606102,0.012675035999748951,3.0068528915384616
2019,15,621020,Dansby Swanson,28.7,1.77,12.11732973,3.770048649,2.900037422307692,54.225779999999986,2.01,10,5,0.6946648288845558,-0.0796200600710597,2.900037422307692
2020,1,605141,Mookie Betts,28.3,1.78,12.429531646,5.642240506,4.3401850046153845,51.597975,1.95,10,2,0.8172527398641833,0.05048839768731228,4.3401850046153845
2020,2,608070,José Ramírez,27.2,1.78,12.295364583,5.031840278,3.8706463676923075,49.5924,1.95,10,3,0.7718498098717288,0.015898322609304127,3.8706463676923075
2020,3,547180,Bryce Harper,27.8,1.83,11.668186722,4.916755187,3.7821193746153843,49.3311,1.95,8,2,0.7928864385127412,0.03283133015645512,3.7821193746153843
2020,4,643396,Isiah Kiner-Falefa,28.1,1.81,12.344880734,4.535688073,3.4889908253846156,50.4114,1.95,8,5,0.6607386987606176,-0.10298308993430716,3.4889908253846156
2020,5,665487,Fernando Tatis Jr.,29.3,1.79,11.307440154,4.53011583,3.4847044846153845,53.135549999999995,1.95,11,3,0.7838577146153219,-0.005296594045539282,3.4847044846153845
2020,6,596115,Trevor Story,28.9,1.79,12.970051546,4.217072165,3.2439016653846156,52.410149999999994,1.95,15,3,0.8214476772909182,0.04268479503850442,3.2439016653846156
2020,7,663757,Trent Grisham,29.1,1.74,10.18492145,4.198489426,3.229607250769231,54.191475000000004,1.95,10,1,0.8683310361056948,0.08461168061819979,3.229607250769231
2020,8,673357,Luis Robert Jr.,29.1,1.77,10.790703125,3.90459375,3.0035336538461537,53.3403,1.95,9,2,0.8058310361056948,0.02211168061819979,3.0035336538461537
2020,9,607208,Trea Turner,29.9,1.76,11.411938596,3.574809942,2.7498538015384613,55.09822499999999,1.95,12,4,0.7568236465567199,-0.051506401253941125,2.7498538015384613
2020,10,516782,Starling Marte,28.4,1.8,12.167531646,2.556632911,1.9666407007692306,51.226499999999994,1.95,10,2,0.8172527398641833,0.048787690969482655,1.9666407007692306
2021,1,605141,Mookie Betts,27.2,1.8,12.429531646,5.642240506,4.606670657118819,49.92462857142856,1.9842857142857142,10,5,0.6946648288845558,-0.06128665837786884,4.606670657118819
2021,2,518692,Freddie Freeman,26.9,1.78,12.235060811,4.331902027,4.3920868417866075,47.78784999999999,1.9,8,3,0.7433310361056948,-0.012183510401507114,4.3920868417866075
2021,3,665862,Jazz Chisholm Jr.,29.1,1.73,12.165130769,5.637923077,4.336863905384615,54.54504,1.9525,23,8,0.7470360160469754,-0.0366833394405196,4.336863905384615
2021,4,624428,Adam Frazier,27.1,1.77,12.576537879,5.210234848,4.007872959999999,49.674299999999995,1.95,10,5,0.6946648288845558,-0.061021391474890274,4.007872959999999
2021,5,608070,José Ramírez,28.1,1.74,12.295364583,5.031840278,3.8706463676923075,53.04483833333333,1.9766666666666666,27,4,0.8581471271580866,0.09442533846316181,3.8706463676923075
2021,6,608070,José Ramírez,28.1,1.8,12.295364583,5.031840278,3.8706463676923075,53.04483833333333,1.9766666666666666,27,4,0.8581471271580866,0.09442533846316181,3.8706463676923075
2021,7,595879,Javier Báez,28.5,1.8,10.957180952,4.696933333,3.859368298094405,51.80231249999999,1.9649999999999999,18,5,0.7819034492032542,0.011618073606152857,3.859368298094405
2021,8,641584,Jake Fraley,27.7,1.73,12.234175182,4.711321168,3.624093206153846,52.918079999999996,1.99,10,2,0.8172527398641833,0.05818061831830179,3.624093206153846
