season,rank,runner_id,player_name,sprint_speed,accel_0_30,r_primary_lead,r_sec_minus_prim_lead,pre_rel_vel_avg,post_rel_dist_avg,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,accel_0_30
2023,8,678225,Ji Hwan Bae,29.7,1.71,,,,57.473955,1.995,24,9,0.7340435895392191,-0.06742169613121873,1.71
2023,9,641584,Jake Fraley,28.0,1.71,12.234175182,4.711321168,3.624093206153846,53.505199999999995,1.97,21,5,0.8030211742738814,0.0405726953964477,1.71
2023,10,681546,James Outman,28.9,1.71,12.713019802,5.209613861,4.007395277692308,56.34632999999999,2.01,16,3,0.8289023501037636,0.05011388153828511,1.71
2023,11,671739,Michael Harris II,28.8,1.71,11.572564706,3.727862745,2.8675867269230766,54.19584,1.94,20,4,0.8239191862927698,0.04742582400923212,1.71
2023,12,680776,Jarren Duran,29.5,1.71,11.817132841,3.677476015,2.828827703846154,57.086924999999994,1.9949999999999999,24,2,0.8997953678222685,0.1047186142363088,1.71
2023,13,666139,Josh Lowe,28.7,1.72,12.320161616,4.644191919,3.5724553223076922,52.89840499999999,1.91,32,3,0.8973414100622581,0.12302326609262271,1.72
2023,14,671221,Drew Waters,28.7,1.72,,,,,,16,5,0.7651406308650125,-0.009177513104622892,1.72
2023,15,669242,Tommy Edman,28.8,1.72,,,,55.306079999999994,1.9899999999999998,27,4,0.858157122291398,0.08166376000786024,1.72
2024,1,682998,Corbin Carroll,29.6,1.68,9.737318777,3.851152838,2.96242526,56.212768000000004,1.9280000000000002,35,8,0.810284508385215,0.012073432741035006,1.68
2024,2,666152,David Hamilton,29.4,1.68,12.102747967,4.256341463,3.2741088176923077,57.773205000000004,1.995,33,4,0.8784203905354838,0.08635807103970239,1.68
2024,3,683083,Nasim Nuñez,29.5,1.68,11.528732719,4.505917051,,,,8,2,0.7929104268326884,-0.0021663267532713304,1.68
2024,4,669003,Garrett Mitchell,29.5,1.68,11.222261084,2.596517241,1.9973209546153845,58.69615,2.02,11,4,0.7446828201245163,-0.050393933461443496,1.68
2024,5,608671,Travis Jankowski,28.5,1.68,,,,,,11,1,0.8760974354406074,0.10577006419465607,1.68
2024,6,686217,Sal Frelick,29.3,1.68,12.259344203,2.834137681,2.1801059084615386,59.741234999999996,2.07,18,3,0.8420637077880895,0.052895934414447954,1.68
