clip_id,pitcher_name,pitcher_id,catcher_name,catcher_id,play_id,game_pk,at_bat_number,pitch_number,p_throws,fps,n_frames,analysis_frames,scene_cut_at,n_segments,segment_index,chosen_segment,set_frame,first_move_frame,release_frame,delivery_s,first_move_cue,leg_lift_frame,hand_break_frame,release_method,release_kpt_conf,good_track,in_band,release_pre_cut,usable,confidence,pitcher_track_id,status
bf24608f_keller_R.mp4,Mitch Keller,656605.0,Joey Bart,663698.0,bf24608f-c6fc-4e2d-8f87-18f59c102bf5,745443.0,27.0,8.0,R,59.769,674,43,631,2,1,[631:674],636,636.0,652.11,0.2695,motion_onset,,,extension_collapse,0.854,True,False,True,False,0.75,4274,ok
c1cf66e8_lively_R.mp4,Ben Lively,594902.0,Bo Naylor,666310.0,c1cf66e8-f901-428f-9434-6b5541b8d0bb,744926.0,16.0,4.0,R,59.541,410,242,242,2,0,[0:242],83,106.35,168.5,1.0437,leg_lift,106.35,104.0,extension_collapse,0.94,True,True,True,True,1.0,4296,ok
c941dae1_garcia_R.mp4,Luis García,472610.0,Logan O'Hoppe,681351.0,c941dae1-9aa9-42d0-9cb6-53eae0bc52b7,745253.0,57.0,9.0,R,59.809,1098,572,572,3,0,[0:572],5,155.34,218.38,1.054,leg_lift,155.34,154.0,extension_collapse,0.411,True,True,True,True,1.0,4371,ok
cab1943e_morton_R.mp4,Charlie Morton,450203.0,Travis d'Arnaud,518595.0,cab1943e-463f-43b6-af54-5d5340008e91,745531.0,17.0,4.0,R,59.645,548,537,11,2,1,[11:548],71,113.74,178.5,1.0858,leg_lift,113.74,139.0,extension_collapse,0.941,True,True,True,True,1.0,4422,ok
d0ee545f_vasquez_R.mp4,Randy Vásquez,681190.0,Kyle Higashioka,543309.0,d0ee545f-3a7b-4388-9b3c-d413993d6b65,745385.0,25.0,3.0,R,59.652,506,506,-1,1,0,[0:506],5,301.62,369.5,1.1379,leg_lift,301.62,302.0,extension_collapse,0.757,True,True,True,True,1.0,4772,ok
d69c672a_king_R.mp4,Michael King,650633.0,Brett Sullivan,664954.0,d69c672a-382a-48b0-8f3e-f4188d26a003,745394.0,9.0,4.0,R,59.718,576,552,552,2,0,[0:552],97,97.08,154.5,0.9615,leg_lift,97.08,245.0,flat_reach_height,0.668,False,True,True,False,0.8,4779,ok
d7686082_waldron_R.mp4,,,,,,,,,R,59.715,616,255,255,3,0,[0:255],100,113.46,179.5,1.1059,leg_lift,113.46,125.0,extension_collapse,0.944,True,True,True,True,1.0,5008,ok
d9c74db4_barnes_R.mp4,,,,,,,,,R,59.743,756,245,245,3,0,[0:245],37,101.03,176.5,1.2632,leg_lift,101.03,94.0,extension_collapse,0.878,True,True,True,True,1.0,5060,ok
da344eb5_bassitt_R.mp4,Chris Bassitt,605135.0,Alejandro Kirk,672386.0,da344eb5-eb5b-4138-b8eb-be62def9d1a6,744921.0,47.0,6.0,R,59.663,534,248,248,2,0,[0:248],56,113.77,179.5,1.1016,leg_lift,113.77,128.0,extension_collapse,0.947,True,True,True,True,1.0,5060,ok
db567a85_feltner_R.mp4,Ryan Feltner,663372.0,Elias Díaz,553869.0,db567a85-dfc0-424f-984a-9aba56176376,746521.0,2.0,6.0,R,59.705,590,57,533,2,1,[533:590],538,545.17,587.57,0.7101,leg_lift,545.17,,extension_collapse,0.779,True,False,True,False,0.75,5193,ok
e106dcd3_gausman_R.mp4,Kevin Gausman,592332.0,Danny Jansen,643376.0,e106dcd3-13a1-4f75-9906-ddfa135c4a69,744920.0,42.0,6.0,R,59.773,738,279,260,5,1,[260:539],294,290.0,362.04,1.2053,leg_lift,290.0,301.0,extension_collapse,0.965,True,True,True,True,1.0,5238,ok
e6fa2a28_wilson_R.mp4,Bryse Wilson,669060.0,Gary Sánchez,596142.0,e6fa2a28-1fac-4906-91f7-bafcccca11bf,746313.0,7.0,6.0,R,59.748,622,196,75,4,1,[75:271],191,192.56,265.33,1.218,leg_lift,192.56,,extension_collapse,0.642,True,True,True,True,1.0,5258,ok
ea21ccc4_crawford_R.mp4,Kutter Crawford,676710.0,Connor Wong,657136.0,ea21ccc4-d416-47e5-97ea-dfb6f73bf1d8,746980.0,16.0,5.0,R,59.671,514,267,267,2,0,[0:267],91,109.47,177.88,1.1466,leg_lift,109.47,134.0,extension_collapse,0.942,True,True,True,True,1.0,5341,ok
f408b71d_houck_R.mp4,Tanner Houck,656557.0,Connor Wong,657136.0,f408b71d-c949-4a86-b999-3d3453f99e83,746526.0,46.0,6.0,R,59.716,522,505,505,2,0,[0:505],96,105.71,143.69,0.636,leg_lift,105.71,234.0,flat_reach_height,0.634,False,False,True,False,0.55,5367,ok
f45957d5_brown_R.mp4,Hunter Brown,686613.0,Yainer Diaz,673237.0,f45957d5-1429-4c8f-a4a6-c660fa749a4d,746365.0,20.0,4.0,R,59.728,570,242,25,3,1,[25:267],84,120.81,182.42,1.0315,leg_lift,120.81,116.0,extension_collapse,0.903,True,True,True,True,1.0,5498,ok
f61d6658_vasquez_R.mp4,Randy Vásquez,681190.0,Kyle Higashioka,543309.0,f61d6658-6d35-4ff1-94bc-52688d9e472a,747146.0,47.0,7.0,R,59.706,576,576,-1,1,0,[0:576],5,315.0,349.57,0.579,leg_lift,315.0,312.0,extension_collapse,0.896,True,False,True,False,0.75,5602,ok
f8c40b5b_maeda_R.mp4,Kenta Maeda,628317.0,Jake Rogers,668670.0,f8c40b5b-0cfc-46ca-a8bb-525b2b6c357d,746214.0,24.0,7.0,R,59.748,766,267,267,4,0,[0:267],175,173.64,249.5,1.2697,leg_lift,173.64,233.0,extension_collapse,0.976,True,True,True,True,1.0,5616,ok
f9188098_gausman_R.mp4,Kevin Gausman,592332.0,Alejandro Kirk,672386.0,f9188098-cbb7-44ec-bbf5-badb00dd555e,744898.0,11.0,4.0,R,59.672,592,243,243,2,0,[0:243],55,114.26,179.5,1.0932,leg_lift,114.26,116.0,extension_collapse,0.936,True,True,True,True,1.0,5602,ok
f9c3cc8b_maeda_R.mp4,Kenta Maeda,628317.0,Carson Kelly,608348.0,f9c3cc8b-1642-4a51-949f-2d2827a42965,746478.0,42.0,9.0,R,59.676,576,418,158,2,1,[158:576],441,443.76,526.42,1.385,leg_lift,443.76,463.0,extension_collapse,0.963,True,True,True,True,1.0,6027,ok
fefa9184_gallen_R.mp4,Zac Gallen,668678.0,Tucker Barnhart,571466.0,fefa9184-f08d-4b44-9ad2-8981b548456f,746718.0,22.0,5.0,R,59.69,550,393,393,3,0,[0:393],71,126.12,182.5,0.9446,leg_lift,126.12,147.0,extension_collapse,0.856,True,True,True,True,1.0,6077,ok
