catcher_id,season,catcher_name,pop_2b_sba,pop_3b_sba,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count
642851,2025,"Wynns, Austin",1.96,1.52,77.5,0.6,19.0
666163,2025,"Rortvedt, Ben",1.96,1.54,85.3,0.71,19.0
668939,2025,"Rutschman, Adley",1.94,1.55,87.1,0.69,29.0
680777,2025,"Jeffers, Ryan",1.98,1.51,83.6,0.68,34.0
518595,2025,"d'Arnaud, Travis",2.0,1.61,80.4,0.65,33.0
663728,2025,"Raleigh, Cal",1.97,1.45,83.1,0.68,55.0
663698,2025,"Bart, Joey",1.99,1.55,84.2,0.7,39.0
543309,2025,"Higashioka, Kyle",2.03,1.64,76.5,0.63,45.0
624431,2025,"Trevino, Jose",2.0,1.55,77.8,0.63,47.0
643376,2025,"Jansen, Danny",2.0,1.51,78.7,0.63,60.0
668800,2025,"Knizner, Andrew",2.0,1.54,80.1,0.68,13.0
650968,2025,"Pozo, Yohel",2.0,1.57,82.0,0.69,24.0
663886,2025,"Stephenson, Tyler",1.99,1.57,82.0,0.67,35.0
666165,2025,"Sabol, Blake",2.06,,81.6,0.73,9.0
676439,2025,"Feduccia, Hunter",2.01,,82.4,0.73,22.0
682663,2025,"Ramírez, Agustín",1.99,1.5,83.0,0.7,53.0
640902,2025,"Pereda, Jhonny",1.93,1.62,86.1,0.68,13.0
660688,2025,"Ruiz, Keibert",2.0,1.55,79.5,0.65,42.0
689414,2025,"Hicks, Liam",2.0,1.65,80.7,0.67,38.0
641598,2025,"Garver, Mitch",2.04,1.62,79.4,0.68,23.0
642136,2025,"Thaiss, Matt",2.0,1.57,84.0,0.71,38.0
665804,2025,"Amaya, Miguel",1.98,1.68,82.7,0.63,7.0
641680,2025,"Heim, Jonah",2.01,1.59,82.4,0.71,44.0
645444,2025,"Herrera, Jose",2.0,1.54,78.5,0.62,25.0
607732,2025,"Stallings, Jacob",2.0,1.53,79.8,0.66,36.0
690924,2025,"Fulford, Braxton",2.0,1.53,84.9,0.73,14.0
605170,2025,"Caratini, Victor",2.05,1.7,77.2,0.66,28.0
543510,2025,"McCann, James",1.99,,81.8,0.69,15.0
700250,2025,"Rice, Ben",2.07,1.55,78.6,0.68,10.0
668974,2025,"Handley, Maverick",1.92,,81.3,0.57,12.0
543592,2025,"Nola, Austin",2.07,1.52,78.1,0.69,5.0
605131,2025,"Barnes, Austin",2.11,1.63,73.2,0.65,11.0
542963,2025,"Brantly, Rob",1.93,1.53,77.7,0.55,5.0
553882,2025,"Narváez, Omar",1.99,,77.8,0.58,5.0
671056,2025,"Herrera, Iván",2.0,1.59,78.3,0.63,6.0
682848,2025,"Rodríguez, Endy",1.86,,85.4,0.56,5.0
592663,2026,"Realmuto, J.T.",1.85,1.41,86.0,0.6,31.0
606992,2026,"Haase, Eric",1.87,1.45,83.6,0.63,12.0
