season,rank,runner_id,player_name,sprint_speed,accel_0_30,r_primary_lead,r_sec_minus_prim_lead,pre_rel_vel_avg,post_rel_dist_avg,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,post_rel_dist_avg
2021,2,607208,Trea Turner,30.6,1.75,11.411938596,3.574809942,2.7498538015384613,57.485924999999995,1.9775,32,5,0.8546108667259601,0.018462732257408576,57.485924999999995
2021,3,663757,Trent Grisham,28.8,1.7,10.18492145,4.198489426,3.229607250769231,56.230199999999996,2.0025,13,5,0.7345068001082751,-0.04198656217526264,56.230199999999996
2021,4,595281,Kevin Kiermaier,29.2,1.75,,,,56.17349999999999,2.025,9,5,0.6786134948679119,-0.10777962035162991,56.17349999999999
2021,5,641933,Tyler O'Neill,29.6,1.74,11.0675,3.343783582,2.5721412169230766,56.06486666666667,1.9833333333333332,15,4,0.7872356834370969,-0.010975392207083101,56.06486666666667
2021,6,641658,Garrett Hampson,29.8,1.77,,,,56.024,2.0,17,7,0.7204709104307009,-0.08436847323403585,56.024
2021,7,622761,Jorge Mateo,30.3,1.77,12.282346939,4.194346939,3.226420722307692,55.72978,1.9566666666666668,10,3,0.7718698001383514,-0.05163839301847195,55.72978
2021,8,668731,Akil Baddoo,28.8,1.71,,,,55.59264,1.99,18,4,0.8108761630551973,0.03438280077165956,55.59264
2021,9,665926,Andrés Giménez,29.1,1.73,11.260161491,4.077695652,3.136688963076923,55.59264,1.99,11,0,0.9308535251556453,0.14711518012216485,55.59264
2021,10,621433,Brett Phillips,28.5,1.7,,,,55.4360625,1.995,14,3,0.8133480182950148,0.0430206470490635,55.4360625
2021,11,656775,Cedric Mullins,28.5,1.71,12.201346821,3.753213873,2.8870875946153847,55.29,2.0,30,8,0.7882245674997749,0.017897196253823577,55.29
2021,12,546990,Anthony Alford,29.6,1.78,,,,55.07524,1.99,5,6,0.5558535251556453,-0.2423575504885347,55.07524
2021,13,621439,Byron Buxton,29.9,1.73,13.112712821,2.669117949,2.053167653076923,54.824639999999995,1.91,9,1,0.8595770934993551,0.051243723872280156,54.824639999999995
2021,14,665487,Fernando Tatis Jr.,29.2,1.77,11.307440154,4.53011583,3.4847044846153845,54.62152,1.99,25,4,0.8498134236026567,0.06342030838311485,54.62152
2021,15,665862,Jazz Chisholm Jr.,29.1,1.73,12.165130769,5.637923077,4.336863905384615,54.54504,1.9525,23,8,0.7470460111802868,-0.036692333853193704,54.54504
