runner_id,season,player_name,sprint_speed,bolts,accel_0_30,accel_5_30,maintain_30_90,total_90,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090,SB,CS,Name,r_primary_lead,r_secondary_lead,r_sec_minus_prim_lead,real_sb_attempts,era,speed_capped,real_sb_pct,expected_sb_pct,sb_residual,pct_speed,pct_accel,accel_gap,n_attempts,n_success,pct_in_HL,avg_pop_faced,avg_pitcher_prevent,pre_rel_vel_avg,post_rel_dist_avg,curve_a,curve_b,curve_c,curve_rmse,y,sb_residual_z,accel_gap_z,lead_gain_z,primary_lead_z,jump_z,speed_cap_z,pre_rel_vel_z,post_rel_dist_z,SSSI_v5,rank_v5
518692,2023,Freddie Freeman,26.7,0.0,1.8,1.26,2.2800000000000002,4.08,0.0,0.54,0.85,1.12,1.36,1.59,1.8,2.01,2.2,2.4,2.59,2.77,2.96,3.14,3.32,3.5,3.68,3.87,4.08,23,1,Freddie Freeman,12.235060811,16.566962838,4.331902027,24,post_2023,26.7,0.9273674621548388,0.7559902509799281,0.17137721117491067,32.16216216216216,54.68468468468468,22.52252252252252,3.0,3.0,0.3333333333333333,2.03,,3.3322323284615383,50.13592499999999,-0.00010010319917440593,0.04953044375644988,0.372745098039216,0.03263650735296958,1,1.9452825386600745,1.1972237382735613,0.800626055165016,0.41235823400319904,-0.7304362908278107,-2.002008776670365,0.8006260548473639,-0.7715496759709933,0.9156412882392058,11
624428,2023,Adam Frazier,26.5,0.0,1.79,1.26,2.3200000000000003,4.11,0.0,0.53,0.84,1.1,1.35,1.57,1.79,2.0,2.2,2.39,2.59,2.77,2.96,3.15,3.33,3.52,3.71,3.91,4.11,11,4,Adam Frazier,12.576537879,17.786772727,5.210234848,15,post_2023,26.5,0.7446828201245163,0.7567949969778294,-0.012112176853313117,27.74774774774775,61.98198198198198,34.234234234234236,4.0,1.0,0.75,1.9775,-0.11335520966205564,4.007872959999999,48.7354875,-9.037667698658358e-05,0.04920085139318879,0.3621323529411766,0.03170811158203238,0,-0.2955542810761977,1.7757642998676775,1.962232107229715,0.8201172349034217,-0.49125872935170206,-2.390726530165283,1.9622321064511912,-1.2614637826093311,0.915568213042006,12
694384,2024,Nolan Schanuel,26.4,0.0,1.84,1.28,2.3100000000000005,4.15,0.0,0.56,0.87,1.15,1.39,1.62,1.84,2.05,2.25,2.45,2.64,2.83,3.02,3.21,3.39,3.57,3.76,3.95,4.15,10,1,Nolan Schanuel,12.792721649,15.703044674,2.910323024,11,post_2023,26.4,0.8683535251556453,0.7573772019288398,0.1109763232268055,23.639774859287055,29.080675422138835,5.44090056285178,1.0,1.0,0.0,1.97,,2.2387100184615387,47.06723999999999,-0.00010278637770897804,0.05051599587203298,0.38490196078431455,0.03083387954034194,1,1.207645691574073,0.353417862177424,-1.0794298119183126,1.0782630558873476,-1.6871465367322451,-2.585085406912746,-1.0794298114900451,-1.8450656810261803,0.9139027465385541,13
572233,2023,Christian Walker,26.4,1.0,1.87,1.31,2.3,4.17,0.0,0.56,0.89,1.17,1.41,1.65,1.87,2.08,2.28,2.48,2.67,2.86,3.05,3.23,3.42,3.6,3.78,3.97,4.17,11,0,Christian Walker,11.228369919,14.872199187,3.643829268,11,post_2023,26.4,0.9308535251556453,0.7573772019288398,0.1734763232268055,24.684684684684687,16.036036036036037,-8.64864864864865,1.0,1.0,0.0,1.95,,2.8029455907692307,45.81719999999999,-0.00011282249742002002,0.05154785861713099,0.38973039215686345,0.03345279804863006,1,1.9709176319217871,-0.3425842179692395,-0.10935870460437336,-0.7897349980298062,-2.404679221160571,-2.585085406912746,-0.10935870456098577,-2.282366331617291,0.9105334892358316,14
605141,2024,Mookie Betts,26.7,0.0,1.82,1.26,2.25,4.07,0.0,0.56,0.88,1.15,1.39,1.61,1.82,2.02,2.22,2.41,2.59,2.78,2.96,3.14,3.32,3.5,3.68,3.87,4.07,16,2,Mookie Betts,12.429531646,18.071772152,5.642240506,18,post_2023,26.7,0.8649415827169706,0.7559902509799281,0.10895133173704252,30.206378986866795,41.55722326454034,11.350844277673545,3.0,3.0,0.6666666666666666,1.9000000000000001,-0.18595769342821308,4.3401850046153845,46.41795,-9.912280701754326e-05,0.04900593395252832,0.40534313725490234,0.03483778155917996,1,1.182915784636809,0.6453600000925382,2.5335649492470047,0.6445765608392244,-1.208791413780028,-2.002008776670365,2.5335649482418026,-2.072206364062163,0.9100692869737288,15
502671,2024,Paul Goldschmidt,26.3,0.0,1.84,1.28,2.2800000000000002,4.12,0.0,0.56,0.89,1.16,1.4,1.63,1.84,2.05,2.25,2.45,2.64,2.83,3.01,3.19,3.38,3.56,3.74,3.93,4.12,11,0,Paul Goldschmidt,10.218108108,13.048711712,2.830603604,11,post_2023,26.3,0.9308535251556453,0.7580792948478896,0.17277423030775574,21.76360225140713,29.080675422138835,7.317073170731707,1.0,1.0,1.0,2.09,,2.177387387692308,49.745135,-0.000106707946336429,0.05045717234262122,0.395294117647059,0.03205673791250601,1,1.962343426727747,0.44609790596,-1.1848597338397748,-1.9960922773450032,-1.6871465367322451,-2.7794442836602014,-1.1848597333696775,-0.9082594782529191,0.8933249225095963,16
650333,2025,Luis Arraez,26.5,0.0,1.79,1.25,2.26,4.05,0.0,0.54,0.85,1.11,1.35,1.57,1.79,1.99,2.19,2.38,2.57,2.76,2.94,3.12,3.3,3.48,3.67,3.85,4.05,11,4,Luis Arraez,11.507441088,16.604975831,5.097534743,15,post_2023,26.5,0.7446828201245163,0.7567949969778294,-0.012112176853313117,24.772313296903462,55.100182149362475,30.327868852459012,2.0,0.0,1.0,1.95,0.19202115226037564,3.921180571538461,48.05775,-9.723942208462238e-05,0.04905405056759536,0.37198529411764863,0.030064585239653323,0,-0.2955542810761977,1.5827958527785932,1.8131848202488188,-0.45649510664273,-0.49125872935170206,-2.390726530165283,1.8131848195294304,-1.4985562353948363,0.8346368092611993,17
500743,2022,Miguel Rojas,26.4,0.0,1.87,1.31,2.33,4.2,0.0,0.56,0.89,1.17,1.42,1.65,1.87,2.08,2.28,2.48,2.67,2.86,3.05,3.24,3.42,3.61,3.8,3.99,4.2,9,3,Miguel Rojas,12.167167785,16.537181208,4.370013423,12,pre_2023,26.4,0.7584503766170779,0.7573772019288398,0.0010731746882380877,26.91637630662021,21.0801393728223,-5.836236933797913,1.0,1.0,0.0,1.97,,3.3615487869230765,46.28711999999999,-0.00010441176470588142,0.05098413312693489,0.3974264705882358,0.0360829022418281,0,-0.13453013939161346,-0.20365540098713078,0.8510288491717698,0.3312869263104291,-2.404679221160571,-2.585085406912746,0.8510288488341202,-2.117974534774172,0.8110056268594159,18
663656,2025,Kyle Tucker,26.5,0.0,1.79,1.25,2.3099999999999996,4.1,0.0,0.54,0.85,1.12,1.35,1.58,1.79,1.99,2.19,2.38,2.57,2.75,2.94,3.12,3.3,3.48,3.68,3.88,4.1,25,3,Kyle Tucker,10.725296029,13.730761733,3.005465704,28,post_2023,26.5,0.8755653455300099,0.7567949969778294,0.1187703485521805,24.772313296903462,55.100182149362475,30.327868852459012,2.0,1.0,0.5,1.9,-0.11513098613397568,2.3118966953846156,46.82549999999999,-8.317853457172323e-05,0.047961816305469515,0.38823529411764734,0.03698582056760785,1,1.302829064905564,1.5827958527785932,-0.9536024373112387,-1.390457348045382,-0.49125872935170206,-2.390726530165283,-0.9536024369328938,-1.9296334222775764,0.80943766891124,19
500743,2023,Miguel Rojas,26.4,0.0,1.86,1.3,2.3099999999999996,4.17,0.0,0.56,0.89,1.16,1.41,1.64,1.86,2.07,2.27,2.47,2.66,2.85,3.04,3.22,3.41,3.59,3.78,3.97,4.17,8,3,Miguel Rojas,12.167167785,16.537181208,4.370013423,11,post_2023,26.4,0.7433535251556453,0.7573772019288398,-0.014023676773194493,24.684684684684687,21.17117117117117,-3.513513513513516,1.0,1.0,1.0,1.98,,3.3615487869230765,46.78343999999999,-0.00010632094943240396,0.05093433952528373,0.393161764705883,0.03360814009447748,0,-0.3188981891213554,-0.08891643327028104,0.8510288491717698,0.3312869263104291,-2.165501659684462,-2.585085406912746,0.8510288488341202,-1.9443472437263796,0.7983057702722842,20
