season,rank,runner_id,player_name,sprint_speed,accel_0_30,r_primary_lead,r_sec_minus_prim_lead,pre_rel_vel_avg,post_rel_dist_avg,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,pre_rel_vel_avg
2021,12,664023,Ian Happ,27.7,1.83,10.538212454,4.404992674,3.388455903076923,51.79899999999999,2.0,9,2,0.8058535251556453,0.04669372608284683,3.388455903076923
2021,13,664023,Ian Happ,27.7,1.78,10.538212454,4.404992674,3.388455903076923,51.79899999999999,2.0,9,2,0.8058535251556453,0.04669372608284683,3.388455903076923
2021,14,518692,Freddie Freeman,26.9,1.78,12.235060811,4.331902027,3.3322323284615383,47.78784999999999,1.9,8,3,0.7433535251556453,-0.012311531698539602,3.3322323284615383
2021,15,606192,Teoscar Hernández,28.5,1.82,12.779433198,4.224502024,3.249616941538462,50.85112499999999,1.95,12,4,0.7568407810709679,-0.013486590174983437,3.249616941538462
2022,1,605141,Mookie Betts,27.4,1.81,12.429531646,5.642240506,4.3401850046153845,48.90351999999999,1.94,12,2,0.8365082317100171,0.07955812072949564,4.3401850046153845
2022,2,665862,Jazz Chisholm Jr.,29.3,1.73,12.165130769,5.637923077,4.336863905384615,55.5528,1.975,12,5,0.7224389273859239,-0.06672884598771767,4.336863905384615
2022,3,547180,Bryce Harper,27.6,1.79,11.668186722,4.916755187,3.7821193746153843,50.0526,1.95,11,4,0.7446828201245163,-0.013620528282817568,3.7821193746153843
2022,4,650402,Gleyber Torres,26.9,1.85,10.310364407,4.591076271,3.5315971315384616,48.29894999999999,1.9949999999999999,10,5,0.6946828201245163,-0.060982236729668626,3.5315971315384616
2022,5,666624,Christopher Morel,28.8,1.79,12.111735849,4.541754717,3.4936574746153846,53.969759999999994,2.0149999999999997,10,7,0.631529836476833,-0.14496352580670469,3.4936574746153846
2022,6,643396,Isiah Kiner-Falefa,28.4,1.8,12.344880734,4.535688073,3.488990825384616,52.067139999999995,1.982,22,4,0.8352792387900105,0.06676742195384189,3.488990825384616
2022,7,681082,Bryson Stott,29.0,1.77,11.961878049,4.51182439,3.4706341461538464,56.700799999999994,2.08,12,4,0.7568407810709679,-0.02436268174449241,3.4706341461538464
2022,8,677951,Bobby Witt Jr.,30.3,1.75,13.020939024,4.500591463,3.461993433076923,57.28215,1.99,30,7,0.8069918191069124,-0.01651637404991091,3.461993433076923
2022,9,656941,Kyle Schwarber,26.4,1.82,11.027303483,4.432248756,3.40942212,48.31199999999999,2.0,10,1,0.8683535251556453,0.1109763232268055,3.40942212
2022,10,664023,Ian Happ,27.9,1.78,10.538212454,4.404992674,3.388455903076923,50.24650499999999,1.99,9,4,0.7163142445827959,-0.04491811972505255,3.388455903076923
2022,11,664023,Ian Happ,27.9,1.84,10.538212454,4.404992674,3.388455903076923,50.24650499999999,1.99,9,4,0.7163142445827959,-0.04491811972505255,3.388455903076923
2022,12,500743,Miguel Rojas,26.4,1.87,12.167167785,4.370013423,3.3615487869230765,46.28711999999999,1.97,9,3,0.7584503766170779,0.0010731746882380877,3.3615487869230765
2022,13,593428,Xander Bogaerts,27.9,1.82,12.125084821,4.347678571,3.3443681315384617,51.82285499999999,2.03,8,2,0.7929104268326884,0.031678062524839956,3.3443681315384617
2022,14,518692,Freddie Freeman,26.9,1.8,12.235060811,4.331902027,3.3322323284615383,49.64058749999999,1.9949999999999999,13,3,0.8044598286900155,0.048794771835830586,3.3322323284615383
2022,15,664983,Jake McCarthy,30.1,1.73,12.197339806,4.292359223,3.3018147869230767,56.05824,1.94,23,3,0.8675373033061395,0.05185629785027035,3.3018147869230767
2023,1,665923,Esteury Ruiz,29.6,1.73,14.319311111,5.684355556,4.372581196923076,54.41664,1.915,67,13,0.8340430164998861,0.03583194085570607,4.372581196923076
2023,2,605141,Mookie Betts,27.2,1.79,12.429531646,5.642240506,4.3401850046153845,50.46552,1.995,14,3,0.8133480182950148,0.05727159286914674,4.3401850046153845
2023,3,665862,Jazz Chisholm Jr.,28.4,1.72,12.165130769,5.637923077,4.336863905384615,53.16763999999999,1.94,22,3,0.8631218800830108,0.09461006324684218,4.336863905384615
2023,4,678662,Ezequiel Tovar,28.1,1.8,12.819713656,5.417185022,4.167065401538461,49.385749999999994,1.9,11,5,0.7092217334519203,-0.05456274796313709,4.167065401538461
2023,5,624428,Adam Frazier,26.5,1.79,12.576537879,5.210234848,4.007872959999999,48.7354875,1.9775,11,4,0.7446828201245163,-0.012112176853313117,4.007872959999999
2023,6,681546,James Outman,28.9,1.71,12.713019802,5.209613861,4.007395277692308,56.34632999999999,2.01,16,3,0.8289023501037636,0.05011388153828511,4.007395277692308
2023,7,608070,José Ramírez,27.8,1.77,12.295364583,5.031840278,3.8706463676923075,51.28405,1.9625,28,6,0.817786061602316,0.05764992389601176,3.8706463676923075
2023,8,608070,José Ramírez,27.8,1.8,12.295364583,5.031840278,3.8706463676923075,51.28405,1.9625,28,6,0.817786061602316,0.05764992389601176,3.8706463676923075
2023,9,547180,Bryce Harper,27.6,1.77,11.668186722,4.916755187,3.7821193746153843,49.2936,1.9,11,3,0.7838766527626487,0.025573304355314908,3.7821193746153843
2023,10,641584,Jake Fraley,28.0,1.71,12.234175182,4.711321168,3.624093206153846,53.505199999999995,1.97,21,5,0.8030211742738814,0.0405726953964477,3.624093206153846
2023,11,595879,Javier Báez,28.1,1.83,10.957180952,4.696933333,3.6130256407692305,49.35203,1.93,12,0,0.9349209648523721,0.1711364834373147,3.6130256407692305
2023,12,666139,Josh Lowe,28.7,1.72,12.320161616,4.644191919,3.5724553223076922,52.89840499999999,1.91,32,3,0.8973414100622581,0.12302326609262271,3.5724553223076922
2023,13,592663,J.T. Realmuto,28.6,1.8,12.115241176,4.642758824,3.5713529415384615,51.58725,1.95,16,5,0.7651406308650125,-0.0071221827587616415,3.5713529415384615
2023,14,650402,Gleyber Torres,26.4,1.87,10.310364407,4.591076271,3.5315971315384616,46.67871999999999,1.9866666666666666,13,6,0.7039023501037636,-0.053474851825076275,3.5315971315384616
2023,15,643396,Isiah Kiner-Falefa,27.7,1.82,12.344880734,4.535688073,3.4889908253846156,51.70482,2.04,14,5,0.7455690167704302,-0.01359078230236832,3.4889908253846156
2024,1,605141,Mookie Betts,26.7,1.82,12.429531646,5.642240506,4.3401850046153845,46.41795,1.9000000000000001,16,2,0.8649415827169706,0.10895133173704252,4.3401850046153845
2024,2,665862,Jazz Chisholm Jr.,28.6,1.73,12.165130769,5.637923077,4.336863905384615,54.545919999999995,1.9866666666666666,40,10,0.7980664800452786,0.025803666421504445,4.336863905384615
2024,3,678662,Ezequiel Tovar,28.1,1.81,12.819713656,5.417185022,4.167065401538461,51.18696,1.98,6,5,0.6183535251556453,-0.14543095625941205,4.167065401538461
2024,4,680869,Zack Gelof,28.7,1.76,12.159210884,5.35655102,4.120423861538462,53.971785,1.99,25,3,0.8755653455300099,0.10124720156037448,4.120423861538462
2024,5,650333,Luis Arraez,26.7,1.77,11.507441088,5.097534743,3.921180571538461,48.06267,1.915,9,3,0.7584503766170779,0.0024601256371498126,3.921180571538461
2024,6,681297,Colton Cowser,28.2,1.74,11.27098913,4.832184783,3.7170652176923076,53.18872499999999,1.975,9,4,0.7163142445827959,-0.04892612733792623,3.7170652176923076
2024,7,677587,Brayan Rocchio,26.8,1.88,12.381186851,4.780276817,3.6771360130769226,47.586079999999995,1.93,10,6,0.6616026858328726,-0.09416502410016381,3.6771360130769226
2024,8,677587,Brayan Rocchio,26.8,1.81,12.381186851,4.780276817,3.6771360130769226,47.586079999999995,1.93,10,6,0.6616026858328726,-0.09416502410016381,3.6771360130769226
2024,9,680700,Richie Palacios,27.9,1.76,12.564669118,4.721588235,3.6319909499999996,54.312929999999994,2.06,19,1,0.915746256099613,0.15451389179176456,3.6319909499999996
2024,10,641584,Jake Fraley,28.3,1.69,12.234175182,4.711321168,3.624093206153846,54.91332,1.9799999999999998,20,5,0.7964552134163442,0.029639063021918877,3.624093206153846
2024,11,666139,Josh Lowe,28.4,1.73,12.320161616,4.644191919,3.5724553223076922,52.619519999999994,1.93,25,1,0.9320534323383975,0.1635416155022289,3.5724553223076922
2024,12,656305,Matt Chapman,28.7,1.79,11.095823529,4.584886555,3.526835811538461,53.91582,2.02,15,2,0.8588025637495602,0.08448441977992482,3.526835811538461
2024,13,666624,Christopher Morel,27.3,1.82,12.111735849,4.541754717,3.4936574746153846,49.83410249999999,1.995,8,7,0.5946828201245162,-0.16177050409465843,3.4936574746153846
2024,14,643396,Isiah Kiner-Falefa,27.8,1.83,12.344880734,4.535688073,3.4889908253846156,49.58407999999999,1.96,11,2,0.827425355693907,0.06728921798760268,3.4889908253846156
2024,15,665487,Fernando Tatis Jr.,28.4,1.79,11.307440154,4.53011583,3.4847044846153845,50.18279999999999,1.9,11,3,0.7838766527626487,0.01536483592648008,3.4847044846153845
2025,1,665862,Jazz Chisholm Jr.,27.6,1.77,12.165130769,5.637923077,4.336863905384615,50.590799999999994,1.95,31,8,0.7930376455111436,0.03473429710380982,4.336863905384615
2025,2,624428,Adam Frazier,26.6,1.78,12.576537879,5.210234848,4.007872959999999,48.00103,1.93,8,6,0.6259819159205434,-0.13035076407431567,4.007872959999999
2025,3,650333,Luis Arraez,26.5,1.79,11.507441088,5.097534743,3.921180571538461,48.05775,1.95,11,4,0.7446828201245163,-0.012112176853313117,3.921180571538461
2025,4,661388,William Contreras,26.2,1.84,10.259566038,5.043672956,3.8797484276923075,45.76222999999999,1.93,6,4,0.659577093499355,-0.09932418223562456,3.8797484276923075
2025,5,608070,José Ramírez,28.4,1.75,12.295364583,5.031840278,3.8706463676923075,51.53179999999999,1.91,44,7,0.8552438643301843,0.08673204749401564,3.8706463676923075
2025,6,608070,José Ramírez,28.4,1.78,12.295364583,5.031840278,3.8706463676923075,51.53179999999999,1.91,44,7,0.8552438643301843,0.08673204749401564,3.8706463676923075
2025,7,547180,Bryce Harper,27.0,1.8,11.668186722,4.916755187,3.7821193746153843,47.95199999999999,1.92,12,2,0.8365082317100171,0.08082593996664433,3.7821193746153843
2025,8,681297,Colton Cowser,27.4,1.74,11.27098913,4.832184783,3.7170652176923076,51.94149499999999,1.9849999999999999,14,0,0.9417713896047539,0.18482127862423248,3.7170652176923076
2025,9,592663,J.T. Realmuto,28.4,1.81,12.115241176,4.642758824,3.5713529415384615,50.16575999999999,1.92,8,2,0.7929104268326884,0.02439860999651977,3.5713529415384615
2025,10,643396,Isiah Kiner-Falefa,27.4,1.82,12.344880734,4.535688073,3.4889908253846156,50.141999999999996,2.0,15,4,0.7872356834370969,0.030285572456575482,3.4889908253846156
2025,11,665487,Fernando Tatis Jr.,28.6,1.8,11.307440154,4.53011583,3.4847044846153845,51.67543333333333,1.9533333333333334,32,7,0.8157649182384165,0.04350210461464232,3.4847044846153845
2025,12,681082,Bryson Stott,28.8,1.75,11.961878049,4.51182439,3.4706341461538464,52.941599999999994,1.935,24,5,0.8204016588967743,0.043908296613236586,3.4706341461538464
2025,13,677951,Bobby Witt Jr.,30.2,1.74,13.020939024,4.500591463,3.461993433076923,57.681999999999995,2.0,38,9,0.8056472385094293,-0.013887416812896847,3.461993433076923
2025,14,672640,Otto Lopez,28.5,1.79,12.599485632,4.495571839,3.458132183846154,51.684749999999994,1.95,15,6,0.7266790924034741,-0.04364827884247724,3.458132183846154
2025,15,683002,Gunnar Henderson,28.5,1.74,13.659720339,4.402245763,3.3863428946153844,54.434999999999995,2.0,30,5,0.847341410062258,0.07701403881630675,3.3863428946153844
2026,1,665862,Jazz Chisholm Jr.,28.4,1.73,12.165130769,5.637923077,4.336863905384615,55.07327999999999,2.02,13,3,0.8044598286900155,0.035948011853846884,4.336863905384615
2026,2,680700,Richie Palacios,27.0,1.75,12.564669118,4.721588235,3.6319909499999996,48.47849999999999,1.89,7,4,0.6808535251556453,-0.07482876658772741,3.6319909499999996
2026,3,665487,Fernando Tatis Jr.,28.8,1.8,11.307440154,4.53011583,3.4847044846153845,53.0136,1.99,14,6,0.7157462560996131,-0.06074710618392465,3.4847044846153845
2026,4,681082,Bryson Stott,28.5,1.79,11.961878049,4.51182439,3.4706341461538464,52.744949999999996,1.99,10,0,0.9262437601660217,0.15591638892007043,3.4706341461538464
2026,5,677951,Bobby Witt Jr.,30.5,1.73,13.020939024,4.500591463,3.461993433076923,57.681599999999996,1.97,16,3,0.8289023501037636,-0.002912582626171112,3.461993433076923
2026,6,664983,Jake McCarthy,29.8,1.74,12.197339806,4.292359223,3.3018147869230767,56.06423,1.97,9,2,0.8058535251556453,0.0010141414909086155,3.3018147869230767
2026,7,804606,Konnor Griffin,29.9,1.73,12.62646,4.204876,3.2345199999999994,55.68575999999999,1.94,12,1,0.8829809112494625,0.07464754162238763,3.2345199999999994
2026,8,691023,Jordan Walker,29.0,1.75,12.135899642,4.080835125,3.1391039423076923,52.34499999999999,1.9,7,3,0.7262437601660217,-0.05495970264943861,3.1391039423076923
2026,9,682829,Elly De La Cruz,28.2,1.74,13.043354086,4.053797665,3.118305896153846,53.054069999999996,1.97,9,5,0.6786134948679119,-0.08662687705281025,3.118305896153846
2026,10,647304,Josh Naylor,24.5,1.84,9.807819572,3.874474006,2.9803646199999996,42.792925,1.93,12,2,0.8365082317100171,0.04529042178444642,2.9803646199999996
2026,11,668227,Randy Arozarena,27.0,1.8,12.430134259,3.870087963,2.9769907407692306,48.951,1.96,14,2,0.8520788763090631,0.09639658456569034,2.9769907407692306
2026,12,672695,Geraldo Perdomo,26.8,1.82,11.624234483,3.82792069,2.944554376923077,45.77574,1.93,8,3,0.7433535251556453,-0.01241418477739109,2.944554376923077
2026,13,672695,Geraldo Perdomo,26.8,1.88,11.624234483,3.82792069,2.944554376923077,45.77574,1.93,8,3,0.7433535251556453,-0.01241418477739109,2.944554376923077
2026,14,803011,Sam Antonacci,28.3,1.73,12.302756522,3.826756522,2.943658863076923,53.24928,1.96,7,4,0.6808535251556453,-0.08596262523877995,2.943658863076923
2026,15,656775,Cedric Mullins,27.4,1.72,12.201346821,3.753213873,2.8870875946153847,49.97348999999999,1.89,10,5,0.6946828201245163,-0.06226729085600513,2.8870875946153847
